"CN","STAID","STANAME","LAT","LON","HGHT","latUpd","longUpd","LatLong","Country"
"BY",399,"MINSK                                   ","+53:52:12","+027:31:48",222,53.87,27.53,"53.87:27.53","Belarus"
"BY",410,"VASILEVICI                              ","+52:15:00","+029:49:59",142,52.25,29.8330555555556,"52.25:29.8330555555556","Belarus"
"BY",614,"VERKHNEDVINSK                           ","+55:49:12","+027:57:00",117,55.82,27.95,"55.82:27.95","Belarus"
"BY",615,"EZERISE                                 ","+55:48:00","+030:00:00",174,55.8,30,"55.8:30","Belarus"
"BY",616,"SARKOVSCIZNA                            ","+55:24:00","+027:30:00",131,55.4,27.5,"55.4:27.5","Belarus"
"BY",617,"LYNTUPY                                 ","+55:06:00","+026:18:00",209,55.1,26.3,"55.1:26.3","Belarus"
"BY",618,"NAROCH;OZERNAYA                         ","+54:54:00","+026:42:00",171,54.9,26.7,"54.9:26.7","Belarus"
"BY",619,"POLOCK                                  ","+55:30:00","+028:48:00",132,55.5,28.8,"55.5:28.8","Belarus"
"BY",620,"DOKSISY                                 ","+54:54:00","+027:48:00",193,54.9,27.8,"54.9:27.8","Belarus"
"BY",621,"LEPEL                                   ","+54:54:00","+028:42:00",174,54.9,28.7,"54.9:28.7","Belarus"
"BY",622,"VITEBSK                                 ","+55:10:12","+030:07:48",166,55.17,30.13,"55.17:30.13","Belarus"
"BY",623,"SENNO                                   ","+54:48:00","+029:42:00",173,54.8,29.7,"54.8:29.7","Belarus"
"BY",624,"OSMANY                                  ","+54:24:00","+025:54:00",209,54.4,25.9,"54.4:25.9","Belarus"
"BY",625,"VILEJKA                                 ","+54:30:00","+026:54:00",183,54.5,26.9,"54.5:26.9","Belarus"
"BY",626,"VOLOJIN                                 ","+54:06:00","+026:30:00",228,54.1,26.5,"54.1:26.5","Belarus"
"BY",627,"RADOSHKOVICHI                           ","+54:12:00","+027:18:00",198,54.2,27.3,"54.2:27.3","Belarus"
"BY",628,"BORISOV                                 ","+54:12:00","+028:30:00",184,54.2,28.5,"54.2:28.5","Belarus"
"BY",629,"ORSA                                    ","+54:30:00","+030:24:00",192,54.5,30.4,"54.5:30.4","Belarus"
"BY",630,"GORKI                                   ","+54:18:00","+030:58:48",200,54.3,30.98,"54.3:30.98","Belarus"
"BY",631,"GRODNO;AIRPORT                          ","+53:40:48","+023:49:48",117,53.68,23.83,"53.68:23.83","Belarus"
"BY",632,"LIDA                                    ","+53:54:00","+025:18:00",147,53.9,25.3,"53.9:25.3","Belarus"
"BY",633,"SHUCHIN                                 ","+53:36:00","+024:48:00",179,53.6,24.8,"53.6:24.8","Belarus"
"BY",634,"NOVOGRUDOK                              ","+53:36:00","+025:54:00",280,53.6,25.9,"53.6:25.9","Belarus"
"BY",635,"STOLBCY                                 ","+53:30:00","+026:42:00",173,53.5,26.7,"53.5:26.7","Belarus"
"BY",636,"BEREZINO                                ","+53:48:00","+028:54:00",169,53.8,28.9,"53.8:28.9","Belarus"
"BY",637,"MAR-INA GORKA                           ","+53:31:48","+028:07:12",175,53.53,28.12,"53.53:28.12","Belarus"
"BY",638,"MOGILEV;AMSG                            ","+53:54:00","+030:19:12",152,53.9,30.32,"53.9:30.32","Belarus"
"BY",639,"KLICHEV                                 ","+53:30:00","+029:18:00",158,53.5,29.3,"53.5:29.3","Belarus"
"BY",640,"SLAVGOROD                               ","+53:30:00","+031:00:00",170,53.5,31,"53.5:31","Belarus"
"BY",641,"KOSTUKOVICI                             ","+53:24:00","+032:06:00",167,53.4,32.1,"53.4:32.1","Belarus"
"BY",642,"VOLKOVISSK                              ","+53:12:00","+024:30:00",183,53.2,24.5,"53.2:24.5","Belarus"
"BY",643,"PRUJANY                                 ","+52:36:00","+024:30:00",164,52.6,24.5,"52.6:24.5","Belarus"
"BY",644,"IVACEVITCI                              ","+52:42:00","+025:24:00",156,52.7,25.4,"52.7:25.4","Belarus"
"BY",645,"BARANOVICI                              ","+53:06:00","+026:00:00",194,53.1,26,"53.1:26","Belarus"
"BY",646,"GANCEVICI                               ","+52:48:00","+026:30:00",160,52.8,26.5,"52.8:26.5","Belarus"
"BY",647,"OKTJBR                                  ","+52:36:00","+028:54:00",141,52.6,28.9,"52.6:28.9","Belarus"
"BY",648,"SLUCK                                   ","+53:00:00","+027:42:00",157,53,27.7,"53:27.7","Belarus"
"BY",649,"BOBRUJSK                                ","+53:06:00","+029:18:00",165,53.1,29.3,"53.1:29.3","Belarus"
"BY",650,"ZLOBIN                                  ","+52:54:00","+030:00:00",144,52.9,30,"52.9:30","Belarus"
"BY",651,"CECERSK                                 ","+52:54:00","+030:54:00",142,52.9,30.9,"52.9:30.9","Belarus"
"BY",652,"VISOKOE                                 ","+52:24:00","+023:24:00",164,52.4,23.4,"52.4:23.4","Belarus"
"BY",653,"BREST                                   ","+52:07:00","+023:40:59",146,52.1166666666667,23.6830555555556,"52.1166666666667:23.6830555555556","Belarus"
"BY",654,"POLESSKAJ                               ","+52:18:00","+026:42:00",134,52.3,26.7,"52.3:26.7","Belarus"
"BY",655,"PINSK;AMSG                              ","+52:07:12","+026:07:48",146,52.12,26.13,"52.12:26.13","Belarus"
"BY",656,"ZITKOVICI                               ","+52:12:00","+027:54:00",138,52.2,27.9,"52.2:27.9","Belarus"
"BY",657,"MOZYR                                   ","+52:00:00","+029:12:00",173,52,29.2,"52:29.2","Belarus"
"BY",658,"GOMEL                                   ","+52:24:00","+031:00:00",139,52.4,31,"52.4:31","Belarus"
"BY",659,"LELCICY                                 ","+51:48:00","+028:18:00",141,51.8,28.3,"51.8:28.3","Belarus"
"BY",660,"BRAGIN                                  ","+51:48:00","+030:18:00",116,51.8,30.3,"51.8:30.3","Belarus"
"BY",661,"OLEVSK                                  ","+51:30:00","+027:42:00",181,51.5,27.7,"51.5:27.7","Belarus"
"FR",31,"MARSEILLE OBS. PALAIS-LONCHAMP          ","+43:18:18","+005:23:48",75,43.305,5.39666666666667,"43.305:5.39666666666667","France"
"FR",32,"BOURGES AERODROME                       ","+47:04:00","+002:22:00",161,47.0666666666667,2.36666666666667,"47.0666666666667:2.36666666666667","France"
"FR",33,"BLAGNAC AEROP. TOULOUSE-BLAGNAC         ","+43:37:23","+001:22:41",151,43.6230555555556,1.37805555555556,"43.6230555555556:1.37805555555556","France"
"FR",34,"MERIGNAC AEROPORT DE BORDEAUX           ","+44:49:54","-000:40:30",47,44.8316666666667,0.675,"44.8316666666667:0.675","France"
"FR",35,"DEOLS CHATEAUROUX AERODROME DE DEOLS    ","+46:51:36","+001:43:18",155,46.86,1.72166666666667,"46.86:1.72166666666667","France"
"FR",36,"PERPIGNAN                               ","+42:44:17","+002:52:23",42,42.7380555555556,2.87305555555556,"42.7380555555556:2.87305555555556","France"
"FR",37,"BRON LYON AEROPORT                      ","+45:43:23","+004:56:12",198,45.7230555555556,4.93666666666667,"45.7230555555556:4.93666666666667","France"
"FR",38,"PARIS-14E PARC MONTSOURIS               ","+48:49:23","+002:20:12",75,48.8230555555556,2.33666666666667,"48.8230555555556:2.33666666666667","France"
"FR",39,"MARIGNANE AEROPORT MARSEILLE MARIGNANE  ","+43:26:30","+005:13:36",5,43.4416666666667,5.22666666666667,"43.4416666666667:5.22666666666667","France"
"FR",322,"RENNES                                  ","+48:04:00","-001:43:59",36,48.0666666666667,-0.266944444444444,"48.0666666666667:-0.266944444444444","France"
"FR",323,"STRASBOURG-ENTZHEIM                     ","+48:33:00","+007:37:59",149,48.55,7.63305555555556,"48.55:7.63305555555556","France"
"FR",355,"MONT-AIGOUAL                            ","+44:07:00","+003:34:59",1567,44.1166666666667,3.58305555555556,"44.1166666666667:3.58305555555556","France"
"FR",740,"ALENCON                                 ","+48:27:00","+000:06:36",144,48.45,0.11,"48.45:0.11","France"
"FR",751,"LYON-BRON                               ","+45:42:36","+004:57:00",201,45.71,4.95,"45.71:4.95","France"
"FR",756,"TARBES                                  ","+43:11:12","-000:00:18",360,43.1866666666667,0.005,"43.1866666666667:0.005","France"
"FR",759,"AMIENS-GLISY                            ","+49:52:18","+002:23:06",60,49.8716666666667,2.385,"49.8716666666667:2.385","France"
"FR",760,"AUXERRE - SAINT-GEORGES-SUR-BAULCHE     ","+47:48:06","+003:32:42",207,47.8016666666667,3.545,"47.8016666666667:3.545","France"
"FR",761,"BALLOTS                                 ","+47:53:53","-001:02:05",62,47.8980555555556,-0.965277777777778,"47.8980555555556:-0.965277777777778","France"
"FR",762,"BEAUVAIS-TILLE                          ","+49:26:48","+002:07:41",89,49.4466666666667,2.12805555555556,"49.4466666666667:2.12805555555556","France"
"FR",763,"BORDEAUX-MERIGNAC                       ","+44:49:54","-000:41:30",47,44.8316666666667,0.691666666666667,"44.8316666666667:0.691666666666667","France"
"FR",764,"BRETIGNY-SUR-ORGE                       ","+48:36:00","+002:19:36",78,48.6,2.32666666666667,"48.6:2.32666666666667","France"
"FR",767,"CATUS                                   ","+44:33:24","+001:20:17",165,44.5566666666667,1.33805555555556,"44.5566666666667:1.33805555555556","France"
"FR",768,"CHARTRES-CHAMPHOL                       ","+48:27:42","+001:30:11",155,48.4616666666667,1.50305555555556,"48.4616666666667:1.50305555555556","France"
"FR",770,"CHATILLON-COLIGNY                       ","+47:49:36","+002:50:53",140,47.8266666666667,2.84805555555556,"47.8266666666667:2.84805555555556","France"
"FR",771,"CHATILLON-SUR-SEINE                     ","+47:50:53","+004:34:54",262,47.8480555555556,4.58166666666667,"47.8480555555556:4.58166666666667","France"
